cp_id,cp_name,cp_type,country,bank_name
CP_10327,John Vazquez,Individual,Pakistan,Rogers PLC Bank
CP_10328,"Morgan, Mendez and Cox Holdings",Offshore,Panama,Harris-Reid Bank
CP_10329,Angela Jefferson,Individual,Egypt,Mitchell Inc Bank
CP_10330,Davies-Morales Corp,Corporate,Germany,Weber Inc Bank
CP_10331,Laura Vargas,Individual,Pakistan,Jones-Solis Bank
CP_10332,Daniel Flynn,Individual,Pakistan,"Colon, Wagner and Evans Bank"
CP_10333,"Fernandez, Gonzalez and Morales Trading",High-Risk,Syria,"Robertson, Powers and Kelley Bank"
CP_10334,Lori Black,Individual,Egypt,Ray and Sons Bank
CP_10335,"Hayden, Harmon and Mcdonald Corp",Corporate,Germany,"Patel, Mendez and Hammond Bank"
CP_10336,Michael-Barber Trading,High-Risk,Myanmar,Boyd LLC Bank
CP_10337,David Francis,Individual,Pakistan,Richard-Jenkins Bank
CP_10338,Walters Group Holdings,Offshore,Cayman Islands,Colon-Lucas Bank
CP_10339,Mcdaniel-Young Trading,High-Risk,Syria,Wilson and Sons Bank
CP_10340,Sanchez LLC Trading,High-Risk,North Korea,Washington-Esparza Bank
CP_10341,Lucas-Johnson Trading,High-Risk,Myanmar,Nelson Inc Bank
CP_10342,Clarke-Ramirez Holdings,Offshore,BVI,"Thompson, Phelps and Stuart Bank"
CP_10343,Mr. Scott Miller,Individual,Pakistan,"Evans, Brown and Friedman Bank"
CP_10344,Powers-Blackwell Holdings,Offshore,Seychelles,Hahn-Ramsey Bank
CP_10345,Young PLC Corp,Corporate,USA,"Mason, Martinez and Beck Bank"
CP_10346,"Herring, Huynh and King Holdings",Offshore,BVI,Young Inc Bank
CP_10347,Emily Collier,Individual,India,"Price, Goodman and Young Bank"
CP_10348,Robinson-Rodriguez Holdings,Offshore,Seychelles,Booker Group Bank
CP_10349,King-Lawrence Corp,Corporate,USA,Ferguson-Lyons Bank
CP_10350,Stewart Group Holdings,Offshore,Cayman Islands,Vega-Richmond Bank
CP_10351,Taylor Cox,Individual,Egypt,"Richardson, Parker and Brewer Bank"
CP_10352,"Johnson, Stevenson and Lindsey Holdings",Offshore,Panama,Vazquez Ltd Bank
CP_10353,King Group Trading,High-Risk,North Korea,Fowler-Haynes Bank
CP_10354,"Martinez, Camacho and Mathews Trading",High-Risk,North Korea,Smith-Yu Bank
CP_10355,Turner-Mayer Corp,Corporate,USA,Evans and Sons Bank
CP_10356,Welch-Suarez Corp,Corporate,USA,"Sullivan, Johnson and Delacruz Bank"
CP_10357,Teresa Ruiz,Individual,India,House-Cook Bank
CP_10358,Mcdowell-Wilkins Corp,Corporate,USA,Hale PLC Bank
CP_10359,Bell PLC Corp,Corporate,Germany,"Li, Rojas and Chavez Bank"
CP_10360,Gill Ltd Holdings,Offshore,Panama,"White, Ramos and Davidson Bank"
CP_10361,Curtis Torres,Individual,Pakistan,"Miller, Moore and Black Bank"
CP_10362,"Hines, Bradford and Jennings Holdings",Offshore,BVI,Hayes-Russo Bank
CP_10363,Green Ltd Corp,Corporate,USA,"Serrano, Marsh and Gonzalez Bank"
CP_10364,Richardson-Long Holdings,Offshore,Cayman Islands,Duffy-Wilkerson Bank
CP_10365,Travis Leblanc,Individual,Philippines,"Salazar, Perez and Davis Bank"
CP_10366,Gonzalez-Haynes Holdings,Offshore,Seychelles,Williams PLC Bank
CP_10367,Burke-Hernandez Trading,High-Risk,Syria,Jackson-Bradley Bank
CP_10368,Higgins Group Holdings,Offshore,Seychelles,Wilcox-Snyder Bank
CP_10369,Reeves and Sons Corp,Corporate,Saudi Arabia,Roberts-Snyder Bank
CP_10370,Reynolds and Sons Corp,Corporate,Germany,"Lewis, Holloway and Acosta Bank"
CP_10371,Barnes Group Holdings,Offshore,Cayman Islands,Johnson LLC Bank
CP_10372,Williamson and Sons Corp,Corporate,Germany,Aguilar-Holland Bank
CP_10373,Smith and Sons Trading,High-Risk,Iran,Mccann-Sanders Bank
CP_10374,James Henderson,Individual,UK,"Scott, Davis and Brown Bank"
CP_10375,Galvan-Ruiz Holdings,Offshore,Cayman Islands,Barajas-Crosby Bank
CP_10376,"Mckinney, Pacheco and Smith Trading",High-Risk,Iran,"Harvey, Turner and Foster Bank"
CP_10377,Anderson-Mcclain Holdings,Offshore,BVI,Carpenter LLC Bank
CP_10378,Johnathan Morgan,Individual,UK,Anderson-Stewart Bank
CP_10379,Brenda Wilson,Individual,India,Good Group Bank
CP_10380,Adkins-Howe Trading,High-Risk,Syria,Orr-Baker Bank
CP_10381,Black-Graham Trading,High-Risk,Iran,Stewart Group Bank
CP_10382,Peters Ltd Trading,High-Risk,North Korea,"Yates, Brown and Hernandez Bank"
CP_10383,White Group Trading,High-Risk,Iran,Martin-Mcdonald Bank
CP_10384,Carney Group Trading,High-Risk,Syria,Alexander Ltd Bank
CP_10385,"Washington, Vasquez and Singleton Trading",High-Risk,Syria,Martinez Inc Bank
CP_10386,Oneill and Sons Holdings,Offshore,BVI,Brady LLC Bank
CP_10387,"Macdonald, Willis and Silva Trading",High-Risk,Iran,Fox PLC Bank
CP_10388,Butler Inc Corp,Corporate,China,Tate Ltd Bank
CP_10389,Clay Inc Corp,Corporate,Saudi Arabia,Maldonado-Becker Bank
CP_10390,Brooks-Hickman Corp,Corporate,China,Hood and Sons Bank
CP_10391,Miller Ltd Trading,High-Risk,Syria,"Castillo, Fuller and Adams Bank"
CP_10392,"Smith, Booker and Douglas Corp",Corporate,USA,Nguyen-Dennis Bank
CP_10393,"Meadows, Robles and Anderson Holdings",Offshore,BVI,Solis LLC Bank
CP_10394,Yates-Manning Holdings,Offshore,BVI,"Crane, James and Ross Bank"
CP_10395,Allen Group Trading,High-Risk,Myanmar,Smith and Sons Bank
CP_10396,Price Group Corp,Corporate,Germany,Holland-Best Bank
CP_10397,Martinez Group Corp,Corporate,Germany,Fitzgerald-Dorsey Bank
CP_10398,Lindsey Howard,Individual,Egypt,Collier PLC Bank
CP_10399,Jeremy Hughes,Individual,India,Hart-Henderson Bank
CP_10400,Shepherd-Austin Holdings,Offshore,Seychelles,Mccoy-Davis Bank
CP_10401,"Peterson, Ford and Walker Corp",Corporate,Saudi Arabia,"Reeves, Arias and Rose Bank"
CP_10402,"Warren, Roberts and Kim Corp",Corporate,USA,Evans-Joyce Bank
CP_10403,"Leach, Skinner and Mills Holdings",Offshore,Seychelles,Carroll-Arnold Bank
CP_10404,Palmer PLC Trading,High-Risk,Iran,Gutierrez-Marshall Bank
CP_10405,"Carroll, King and Scott Trading",High-Risk,Myanmar,Mack Inc Bank
CP_10406,Yang Group Trading,High-Risk,Myanmar,Hartman Group Bank
CP_10407,Miller Ltd Holdings,Offshore,Seychelles,Edwards-Ramsey Bank
CP_10408,"Cole, Morton and Peterson Corp",Corporate,USA,Clark Inc Bank
CP_10409,"Hendrix, Green and Nunez Holdings",Offshore,Seychelles,Ferguson-Smith Bank
CP_10410,Smith Ltd Holdings,Offshore,Seychelles,Stevens-Sullivan Bank
CP_10411,"Church, Guzman and Tucker Corp",Corporate,USA,"Li, Jensen and Vazquez Bank"
CP_10412,"Leonard, Ballard and Miller Trading",High-Risk,Myanmar,Smith Inc Bank
CP_10413,Horton and Sons Trading,High-Risk,Myanmar,Clark Ltd Bank
CP_10414,David Wilkinson,Individual,India,"Lee, Turner and Ford Bank"
CP_10415,Henderson-Wilson Corp,Corporate,USA,Rodgers Group Bank
CP_10416,Ruiz-Heath Trading,High-Risk,Syria,"Sanchez, Phillips and Gallegos Bank"
CP_10417,Williams-Smith Corp,Corporate,Saudi Arabia,"Abbott, Reynolds and Perry Bank"
CP_10418,Mclaughlin-Larson Trading,High-Risk,North Korea,"Duarte, Johnson and Ross Bank"
CP_10419,"Garza, Carr and Gregory Trading",High-Risk,Iran,Hall-Brown Bank
CP_10420,Kenneth Tran,Individual,UK,Orozco-Butler Bank
CP_10421,Wilson-Dean Corp,Corporate,Germany,"Reed, Terry and Smith Bank"
CP_10422,Barber-Harrison Corp,Corporate,USA,Hall-Robinson Bank
CP_10423,"Morgan, Guzman and Kirby Corp",Corporate,Germany,"Mcdonald, Ware and Sharp Bank"
CP_10424,Jason Pugh,Individual,Pakistan,"Navarro, Flynn and Marsh Bank"
CP_10425,Lisa Campbell,Individual,Pakistan,"Miller, Webb and Thompson Bank"
CP_10426,Johnathan Leon,Individual,Egypt,Torres-Clark Bank
CP_10427,Kidd LLC Corp,Corporate,China,Kelly-Moore Bank
CP_10428,Stephanie Johnson,Individual,India,Morgan Inc Bank
CP_10429,Barbara Walker,Individual,Philippines,Chaney-Glover Bank
CP_10430,Carrillo PLC Holdings,Offshore,Seychelles,Kemp-Castaneda Bank
CP_10431,"Munoz, Garcia and Williams Corp",Corporate,China,Lloyd-Estes Bank
CP_10432,Villegas PLC Corp,Corporate,Germany,"Casey, Meza and Colon Bank"
CP_10433,Romero and Sons Corp,Corporate,China,"Wilson, Harris and Ward Bank"
CP_10434,"Carter, Alexander and Hunter Corp",Corporate,China,"Harrell, Moore and Cox Bank"
CP_10435,Martinez and Sons Corp,Corporate,China,Montes-Hammond Bank
CP_10436,Sanchez Group Holdings,Offshore,BVI,Mitchell-Jackson Bank
CP_10437,Watson-Fischer Trading,High-Risk,Iran,Soto-Sanchez Bank
CP_10438,"Fisher, Perez and Pham Trading",High-Risk,Syria,Hardin-Villanueva Bank
CP_10439,"Norton, Cox and Johnson Trading",High-Risk,North Korea,Carrillo Ltd Bank
CP_10440,Terri Miller,Individual,Pakistan,Morales-Barton Bank
CP_10441,Brown-Malone Corp,Corporate,Saudi Arabia,"Nielsen, Hernandez and Andrews Bank"
CP_10442,Veronica Lloyd,Individual,Philippines,"Kaufman, Barnes and Blackwell Bank"
CP_10443,"Spencer, Torres and Newton Corp",Corporate,Germany,Smith-Ramirez Bank
CP_10444,"Bishop, Thomas and Powell Corp",Corporate,Saudi Arabia,"Harris, Stephens and Kramer Bank"
CP_10445,"Ramos, Reed and Cain Corp",Corporate,Saudi Arabia,"Sullivan, Gonzalez and Turner Bank"
CP_10446,Medina Group Holdings,Offshore,Seychelles,"Higgins, Hobbs and Meyer Bank"
CP_10447,"Campbell, Davis and Arnold Holdings",Offshore,Seychelles,"Peterson, Reid and Johnson Bank"
CP_10448,"Vargas, Allen and Schroeder Corp",Corporate,USA,"Henderson, Wagner and Dennis Bank"
CP_10449,Green-Romero Holdings,Offshore,Cayman Islands,Williams Ltd Bank
CP_10450,West PLC Holdings,Offshore,BVI,"Smith, Morgan and Young Bank"
CP_10451,"Zhang, Cunningham and Kline Holdings",Offshore,BVI,"Wade, Richard and Hall Bank"
CP_10452,Mitchell-Glover Holdings,Offshore,BVI,"Armstrong, Taylor and Gray Bank"
CP_10453,"Wright, Murphy and Aguilar Corp",Corporate,Germany,Gibson-Thomas Bank
CP_10454,Poole-Miller Corp,Corporate,Germany,Coleman and Sons Bank
CP_10455,Lewis-Miller Corp,Corporate,USA,"Fox, Chapman and Stone Bank"
CP_10456,Wiggins-Silva Corp,Corporate,USA,"Henderson, Alexander and Galvan Bank"
CP_10457,William Colon Jr.,Individual,India,Washington Group Bank
CP_10458,Faulkner PLC Trading,High-Risk,North Korea,"Wilson, Lewis and Kennedy Bank"
CP_10459,"Moore, Hansen and Dorsey Corp",Corporate,USA,Guzman Group Bank
CP_10460,Martinez PLC Corp,Corporate,Germany,Williams-Hernandez Bank
CP_10461,Torres-Brooks Corp,Corporate,Saudi Arabia,Tucker-Moody Bank
CP_10462,Kevin Williams,Individual,UK,Small-Lewis Bank
CP_10463,"Burns, Martinez and Bailey Holdings",Offshore,Panama,Butler PLC Bank
CP_10464,Jesse Morgan,Individual,India,Alvarez-Cortez Bank
CP_10465,Pamela Wagner,Individual,Egypt,Gill-Contreras Bank
CP_10466,Cline LLC Corp,Corporate,Germany,Marsh Ltd Bank
CP_10467,Jasmine Mccullough,Individual,Pakistan,Weaver-Rubio Bank
CP_10468,Fitzgerald-Brewer Trading,High-Risk,Iran,Mann PLC Bank
CP_10469,"Hogan, Zimmerman and Hoffman Holdings",Offshore,Seychelles,Schneider Inc Bank
CP_10470,Luke Ray,Individual,UK,Bernard PLC Bank
CP_10471,Christensen PLC Trading,High-Risk,Myanmar,Martinez PLC Bank
CP_10472,Rivers LLC Trading,High-Risk,Myanmar,Sanchez Ltd Bank
CP_10473,"Wallace, Roman and Lawson Trading",High-Risk,Iran,Chapman-Henry Bank
CP_10474,Morgan and Sons Holdings,Offshore,BVI,Johnson-Rice Bank
CP_10475,Scott-Wilson Trading,High-Risk,Syria,Weaver LLC Bank
CP_10476,David Davis,Individual,UK,Farley-Gregory Bank
CP_10477,Mendez LLC Holdings,Offshore,BVI,Johnson Inc Bank
CP_10478,Price-Flores Trading,High-Risk,Iran,Orozco-Scott Bank
CP_10479,Williams and Sons Holdings,Offshore,BVI,"Willis, Vasquez and Goodwin Bank"
CP_10480,Avery-Adams Corp,Corporate,Germany,Marshall-Russell Bank
CP_10481,Johnson-Schultz Holdings,Offshore,Panama,Adams PLC Bank
CP_10482,"Garcia, Hines and Pearson Holdings",Offshore,Panama,Torres Group Bank
CP_10483,Ryan Mason,Individual,Philippines,Brooks and Sons Bank
CP_10484,Medina Group Corp,Corporate,Saudi Arabia,"Hayes, Smith and Marshall Bank"
CP_10485,Donna Stanton,Individual,Pakistan,Brown Group Bank
CP_10486,Harper-Franco Corp,Corporate,China,Kidd-Kirby Bank
CP_10487,Richards PLC Corp,Corporate,USA,Williams-Stevenson Bank
CP_10488,"Jones, Davis and Hale Holdings",Offshore,Seychelles,Hardy LLC Bank
CP_10489,Clark-Wagner Holdings,Offshore,Cayman Islands,Henson-Dougherty Bank
CP_10490,"Green, Mullins and Chavez Holdings",Offshore,Panama,Bates LLC Bank
CP_10491,Joe Greene,Individual,Philippines,Sloan and Sons Bank
CP_10492,April Alvarez,Individual,India,Chambers Group Bank
CP_10493,"Woodard, Warner and Farmer Trading",High-Risk,Syria,"Miller, Mcdowell and Curtis Bank"
CP_10494,"Johnson, Collier and Powers Corp",Corporate,China,"Martinez, Stanton and Bennett Bank"
CP_10495,"Howard, Thompson and Tate Holdings",Offshore,Seychelles,"Terrell, Martinez and Wood Bank"
CP_10496,Wallace and Sons Trading,High-Risk,Myanmar,"Smith, Campbell and Morse Bank"
CP_10497,Brandon Austin,Individual,UK,Stokes-Walker Bank
CP_10498,Coffey-Johnson Trading,High-Risk,North Korea,Conway-Mann Bank
CP_10499,Smith Ltd Trading,High-Risk,Iran,Rodriguez-Ramirez Bank
CP_10500,Carolyn Lee,Individual,UK,"Knight, Fleming and Cunningham Bank"
CP_10501,Chapman Ltd Trading,High-Risk,Iran,Anderson PLC Bank
CP_10502,Ibarra Ltd Trading,High-Risk,Myanmar,Lee-Gregory Bank
CP_10503,"Byrd, Mendez and Becker Trading",High-Risk,Syria,Smith-Simmons Bank
CP_10504,"Hahn, Williams and Mcmillan Holdings",Offshore,BVI,Richard-Russell Bank
CP_10505,Frazier Group Holdings,Offshore,Cayman Islands,Ward-Blake Bank
CP_10506,"Walker, Ramirez and Fisher Trading",High-Risk,North Korea,Stewart-Myers Bank
CP_10507,Miller-Armstrong Corp,Corporate,Germany,Mooney and Sons Bank
CP_10508,Jessica Jones,Individual,Philippines,Gonzalez LLC Bank
CP_10509,Brown-Garrett Holdings,Offshore,Panama,Castillo Inc Bank
CP_10510,"Robles, Mcconnell and Pittman Trading",High-Risk,Syria,Rodriguez and Sons Bank
CP_10511,Wall-Underwood Corp,Corporate,China,"Bauer, Harding and Parsons Bank"
CP_10512,Pamela Garrett,Individual,Egypt,"Martinez, Villegas and Rangel Bank"
CP_10513,Edwards-Abbott Corp,Corporate,USA,Patton Inc Bank
CP_10514,Brown-Bishop Corp,Corporate,China,Jones-Byrd Bank
CP_10515,"Williams, Horn and Morales Corp",Corporate,Saudi Arabia,"Walton, Hall and Greene Bank"
CP_10516,"Hanson, Chavez and Marshall Holdings",Offshore,Cayman Islands,Hobbs-Harvey Bank
CP_10517,Curtis-Lowe Corp,Corporate,Saudi Arabia,Gibson LLC Bank
CP_10518,"Lee, Garcia and Larson Holdings",Offshore,Cayman Islands,Watkins and Sons Bank
CP_10519,"Martinez, Hicks and Kelly Corp",Corporate,China,Hardy-Wallace Bank
CP_10520,Taylor Inc Corp,Corporate,Germany,Anderson PLC Bank
CP_10521,Palmer-Pearson Holdings,Offshore,Cayman Islands,Collins-Mcclure Bank
CP_10522,Brittany Parker,Individual,Egypt,Carter-Cordova Bank
CP_10523,Mary Thomas,Individual,Pakistan,Hunter PLC Bank
CP_10524,Henderson and Sons Corp,Corporate,USA,Davidson and Sons Bank
CP_10525,Gloria Contreras,Individual,Egypt,"Holt, Mcdonald and Schwartz Bank"
CP_10526,"Knight, Rogers and Evans Corp",Corporate,USA,Martin-Gibson Bank
CP_10527,Amanda Robinson,Individual,UK,Fowler Ltd Bank
CP_10528,Marcus Allen,Individual,Philippines,"Tate, Briggs and Aguirre Bank"
CP_10529,James Mckenzie,Individual,UK,Cox Inc Bank
CP_10530,Johnson-Wilson Holdings,Offshore,Panama,Alexander-Welch Bank
CP_10531,Heather Hester,Individual,UK,Gonzalez and Sons Bank
CP_10532,Mcclure Ltd Trading,High-Risk,North Korea,Morgan PLC Bank
CP_10533,Craig Thompson,Individual,Pakistan,Lozano-Smith Bank
CP_10534,"Taylor, Pena and Dyer Corp",Corporate,Germany,Boyle-Torres Bank
CP_10535,Wood LLC Corp,Corporate,Germany,"Jackson, Rose and Lloyd Bank"
CP_10536,"Keith, Johns and Jones Trading",High-Risk,Myanmar,Andrade and Sons Bank
CP_10537,Lee Group Corp,Corporate,Germany,"Brooks, Greene and Rowland Bank"
CP_10538,Mccall PLC Holdings,Offshore,Cayman Islands,"Lopez, Nichols and Clarke Bank"
CP_10539,Anthony Flynn,Individual,UK,York PLC Bank
CP_10540,Christine Miller,Individual,Pakistan,Gibbs-Mendez Bank
CP_10541,James Khan,Individual,Pakistan,"Brooks, Stone and White Bank"
CP_10542,Kelly Webb,Individual,India,Wells-Perkins Bank
CP_10543,Rachel Santos,Individual,India,Robinson and Sons Bank
CP_10544,Roy-Foster Trading,High-Risk,Iran,Coleman-Bennett Bank
CP_10545,Ryan Scott,Individual,India,Taylor Inc Bank
CP_10546,Wallace-Bell Corp,Corporate,Germany,"Williams, Hunt and Rogers Bank"
CP_10547,Mcdonald-Ortiz Trading,High-Risk,Iran,Stewart-Reyes Bank
CP_10548,David Brewer,Individual,Pakistan,Valenzuela-Phillips Bank
CP_10549,"Hunt, Schneider and Hartman Corp",Corporate,Saudi Arabia,Garcia Inc Bank
CP_10550,Johnson-Gonzalez Trading,High-Risk,Myanmar,Leonard LLC Bank
CP_10551,Mcgee-Mack Trading,High-Risk,Iran,Lee-Munoz Bank
CP_10552,Murillo Ltd Trading,High-Risk,North Korea,"Daniels, Green and Carrillo Bank"
CP_10553,Short-Logan Holdings,Offshore,BVI,Bautista-Underwood Bank
CP_10554,"Smith, Valdez and Hays Trading",High-Risk,North Korea,Grimes and Sons Bank
CP_10555,Cummings and Sons Corp,Corporate,Germany,Hall-Matthews Bank
CP_10556,Julie Olsen,Individual,India,Conner-Edwards Bank
CP_10557,Patterson Ltd Trading,High-Risk,North Korea,Clark-Cole Bank
CP_10558,"Johnson, Taylor and Russo Trading",High-Risk,Iran,Harding-Smith Bank
CP_10559,"Flowers, Morgan and Barnes Holdings",Offshore,Cayman Islands,"Goodwin, Farmer and Vaughn Bank"
CP_10560,Nguyen-Johnson Trading,High-Risk,Myanmar,Weeks and Sons Bank
CP_10561,Wendy Carroll,Individual,Egypt,"Mcintyre, Berry and Myers Bank"
CP_10562,Harris-Myers Trading,High-Risk,Iran,"Hughes, Wells and Murphy Bank"
CP_10563,Fowler-Torres Trading,High-Risk,Iran,Garcia PLC Bank
CP_10564,Johnson Ltd Holdings,Offshore,Panama,"Burns, Lopez and Jones Bank"
CP_10565,Diane Hall,Individual,Egypt,"Warren, Gibson and Wood Bank"
CP_10566,Jackson Group Holdings,Offshore,Seychelles,Moore-Rodriguez Bank
CP_10567,"Barnes, Paul and Price Holdings",Offshore,Seychelles,Anderson and Sons Bank
CP_10568,Robert Ortega,Individual,Egypt,Munoz LLC Bank
CP_10569,"Harris, Moran and Stevens Trading",High-Risk,Iran,Smith and Sons Bank
CP_10570,Brown-Ross Trading,High-Risk,Syria,Fox PLC Bank
CP_10571,Stevens-Johnston Holdings,Offshore,BVI,"Davis, Lucas and Ellison Bank"
CP_10572,Graves-Dawson Trading,High-Risk,North Korea,Myers-Colon Bank
CP_10573,Perry and Sons Trading,High-Risk,North Korea,"Quinn, Ellis and Bartlett Bank"
CP_10574,Hale Inc Holdings,Offshore,Panama,Hale-Williams Bank
CP_10575,Hill Ltd Holdings,Offshore,Seychelles,"Carter, Hendricks and Wolfe Bank"
CP_10576,"Barrera, Kerr and Jenkins Holdings",Offshore,Panama,"Martinez, Wood and Campos Bank"
CP_10577,"Miranda, Nguyen and Hayes Corp",Corporate,USA,Clark-Williams Bank
CP_10578,Mark Lowe,Individual,Pakistan,James-Reese Bank
CP_10579,Sanders Inc Corp,Corporate,China,Wilson-Stark Bank
CP_10580,Santiago-Marshall Trading,High-Risk,Myanmar,Jones-Kelley Bank
CP_10581,Reeves Group Trading,High-Risk,Iran,Ruiz LLC Bank
CP_10582,Jackson Inc Holdings,Offshore,Seychelles,"Garcia, Phillips and Nichols Bank"
CP_10583,Jackson-Powers Trading,High-Risk,Myanmar,Byrd and Sons Bank
CP_10584,Christopher Klein,Individual,India,"Patel, Ramos and Williams Bank"
CP_10585,"Cain, Davidson and Moran Corp",Corporate,China,Myers LLC Bank
CP_10586,Williams-Smith Corp,Corporate,China,Wang-Mcfarland Bank
CP_10587,David Davis,Individual,UK,Johnson-Smith Bank
CP_10588,Frazier Inc Corp,Corporate,Germany,Benjamin Inc Bank
CP_10589,"Jackson, Jackson and Perry Corp",Corporate,USA,Ochoa LLC Bank
CP_10590,Chelsey Clark,Individual,India,"Foster, Patterson and Hall Bank"
CP_10591,Kelly and Sons Corp,Corporate,China,Morales LLC Bank
CP_10592,Price Group Corp,Corporate,China,Jones LLC Bank
CP_10593,"Hanson, Williams and Mcclure Corp",Corporate,Saudi Arabia,Turner-George Bank
CP_10594,Mrs. Kimberly Mooney,Individual,UK,"Jackson, Haley and Greene Bank"
CP_10595,"Horton, Gregory and Compton Trading",High-Risk,North Korea,"Anderson, Thompson and Gill Bank"
CP_10596,"Stewart, York and Olson Trading",High-Risk,Syria,Smith-Barr Bank
CP_10597,Reyes-Davidson Corp,Corporate,USA,Gordon Ltd Bank
CP_10598,Crystal Jensen DVM,Individual,UK,Young-Patterson Bank
CP_10599,Harvey Inc Corp,Corporate,China,Brooks LLC Bank
CP_10600,Hernandez and Sons Corp,Corporate,China,"Johnson, Mclean and George Bank"
CP_10601,Nancy Murphy,Individual,Pakistan,Stewart-Buchanan Bank
CP_10602,Meyer Group Holdings,Offshore,Cayman Islands,"Hess, Christensen and Perez Bank"
CP_10603,Grace Harris,Individual,Philippines,Knox Ltd Bank
CP_10604,Solis Ltd Corp,Corporate,Germany,"Walker, Salas and Boyd Bank"
CP_10605,Ramos Inc Corp,Corporate,USA,Kane Inc Bank
CP_10606,Williams and Sons Corp,Corporate,Saudi Arabia,Martinez and Sons Bank
CP_10607,"Dunn, Pope and Harris Trading",High-Risk,Syria,"Miller, Hardy and Collins Bank"
CP_10608,"Gonzalez, Coleman and Obrien Trading",High-Risk,Iran,Mitchell-West Bank
CP_10609,"Harris, Huffman and Olson Trading",High-Risk,Myanmar,Sanders-Jackson Bank
CP_10610,Henderson-Lynch Holdings,Offshore,BVI,Wolf-Weiss Bank
CP_10611,Alicia James,Individual,Egypt,Blake LLC Bank
CP_10612,"Medina, Tran and Thompson Holdings",Offshore,BVI,Ford-Chavez Bank
CP_10613,Hart-Castillo Trading,High-Risk,Syria,Taylor-Harrison Bank
CP_10614,Hendricks Inc Holdings,Offshore,Panama,Hensley Ltd Bank
CP_10615,Katherine Frost,Individual,UK,Waller-Brooks Bank
CP_10616,Martin Chapman MD,Individual,Pakistan,Riddle Inc Bank
CP_10617,Keith Lee,Individual,Egypt,Krueger-Wise Bank
CP_10618,"Bailey, Fletcher and Reid Corp",Corporate,USA,Horton-Curtis Bank
CP_10619,Fitzgerald-Allen Corp,Corporate,Germany,Dorsey LLC Bank
CP_10620,"Mann, Johnson and Wade Corp",Corporate,Germany,Green Group Bank
CP_10621,"Hernandez, Wright and Lane Corp",Corporate,China,"Skinner, Smith and Wise Bank"
CP_10622,"Dawson, Cruz and Mccarthy Holdings",Offshore,Seychelles,Stone and Sons Bank
CP_10623,Martin-Simmons Trading,High-Risk,North Korea,"Turner, Ponce and Barrett Bank"
CP_10624,Willis-Gross Trading,High-Risk,Syria,"Booth, Rodriguez and Armstrong Bank"
CP_10625,Olsen-Adams Corp,Corporate,China,Conrad Group Bank
CP_10626,Abigail Jackson,Individual,UK,Smith-Jones Bank
CP_10627,Kelly Pena,Individual,Egypt,"Jordan, Thompson and Lopez Bank"
CP_10628,Gonzalez and Sons Corp,Corporate,Saudi Arabia,"Fry, Hayes and Olsen Bank"
CP_10629,Anthony White,Individual,Egypt,Green Group Bank
CP_10630,Sims-Weber Holdings,Offshore,Seychelles,"Martin, Carter and Gray Bank"
CP_10631,Brown-Johnson Holdings,Offshore,BVI,Woods Ltd Bank
CP_10632,Smith LLC Holdings,Offshore,Panama,Ortega Inc Bank
CP_10633,Clark Inc Holdings,Offshore,Panama,Morrison-Hatfield Bank
CP_10634,Frederick-Kennedy Trading,High-Risk,Myanmar,Munoz-Rogers Bank
CP_10635,Grace Edwards,Individual,Philippines,Everett Ltd Bank
CP_10636,Leslie Hester,Individual,Egypt,Drake-Smith Bank
CP_10637,Jennifer Houston,Individual,Philippines,Johnson Inc Bank
CP_10638,"Ramirez, Lyons and Briggs Holdings",Offshore,BVI,Hayes-Parks Bank
CP_10639,Robertson-Keller Holdings,Offshore,Panama,Andersen LLC Bank
CP_10640,Isaac Williams,Individual,UK,"Nguyen, Wallace and Lawson Bank"
CP_10641,Stevenson-Bauer Holdings,Offshore,Cayman Islands,Patterson-Huynh Bank
CP_10642,Hatfield-Vincent Trading,High-Risk,Iran,Navarro LLC Bank
CP_10643,"Lee, Thomas and Meyer Holdings",Offshore,Seychelles,"Glover, Moran and Johnson Bank"
CP_10644,Robles-Turner Corp,Corporate,Saudi Arabia,"Davies, Archer and Owens Bank"
CP_10645,Friedman-Olson Trading,High-Risk,Myanmar,"Allen, Lewis and Mullins Bank"
CP_10646,Ann Graham,Individual,UK,"Johnson, Hickman and Nguyen Bank"
CP_10647,Douglas Ball,Individual,Philippines,"Alvarez, Merritt and Martinez Bank"
CP_10648,Joseph Swanson,Individual,UK,Pope LLC Bank
CP_10649,Huynh PLC Trading,High-Risk,North Korea,Schneider Group Bank
CP_10650,"Paul, Hardy and Valdez Trading",High-Risk,Myanmar,"Burch, Kim and Hall Bank"
CP_10651,Wilson-Miller Corp,Corporate,Saudi Arabia,Peterson PLC Bank
CP_10652,Garner Inc Holdings,Offshore,Cayman Islands,"Richardson, Castaneda and Finley Bank"
CP_10653,"Mclaughlin, Collins and Lawrence Corp",Corporate,USA,Boone Group Bank
CP_10654,Wise-Salinas Trading,High-Risk,Syria,Meyer PLC Bank
CP_10655,"Walker, Foster and Medina Holdings",Offshore,Panama,Stewart-Cabrera Bank
CP_10656,Hood-Porter Holdings,Offshore,BVI,Hernandez-Campbell Bank
CP_10657,Sarah Carey,Individual,Egypt,George LLC Bank
CP_10658,Melissa Hill,Individual,UK,"Berry, Welch and Lewis Bank"
CP_10659,Padilla-Bennett Trading,High-Risk,Syria,Hernandez-Moran Bank
